"Species","CommonName","a","b","Cryptic","Benthic","Reef","Pelagic","FunctionalGrp","K","Species_corrected","lmax"
"Abudefduf saxatilis","Sergeant major",0.0227,3.142,TRUE,FALSE,TRUE,FALSE,"Invertivore", ,"Abudefduf saxatilis",22.9
"Acanthemblemaria aspera","Roughhead blenny",0.0077,2.962,TRUE,TRUE,TRUE,FALSE,"Invertivore", ,"Acanthemblemaria aspera",4
"Acanthemblemaria maria","Secretary blenny",0.0077,2.962,TRUE,TRUE,FALSE,FALSE,"Planktivore", ,"Acanthemblemaria maria",5.1
"Acanthocybium solandri","Wahoo",0.0033,3.181,FALSE,FALSE,FALSE,TRUE,"Piscivore", ,"Acanthocybium solandri",250
"Acanthostracion polygonia","Honeycomb cowfish",0.0517,2.679,FALSE,FALSE,TRUE,FALSE,"Invertivore", ,"Acanthostracion polygonium",50
"Acanthostracion quadricornis","Scrawled cowfish",0.175,2.25,FALSE,FALSE,TRUE,FALSE,"Invertivore", ,"Acanthostracion quadricornis",55
"Acanthurus bahianus","Ocean surgeonfish",0.0191,3.08,FALSE,FALSE,TRUE,FALSE,"Herbivore", ,"Acanthurus bahianus",52
"Acanthurus coeruleus","Blue tang",0.0305,3,FALSE,FALSE,TRUE,FALSE,"Herbivore", ,"Acanthurus coeruleus",39
"Aluterus scriptus","Scrawled filefish",0.823,1.814,FALSE,FALSE,TRUE,FALSE,"Invertivore", ,"Aluterus scriptus",110
"Amblycirrhitus pinos","Redspotted hawkfish",0.0026,3.427,TRUE,TRUE,FALSE,FALSE,"Invertivore", ,"Amblycirrhitus pinos",9.5
"Anisotremus surinamensis","Black margate",0.0233,3.01,FALSE,FALSE,TRUE,TRUE,"Invertivore", ,"Anisotremus surinamensis",76
"Anisotremus virginicus","Porkfish",0.0148,3.167,FALSE,FALSE,TRUE,TRUE,"Invertivore", ,"Anisotremus virginicus",40.6
"Apogon binotatus","Barred cardinalfish",0.0158,3.073,TRUE,FALSE,TRUE,FALSE,"Planktivore", ,"Apogon binotatus",13
"Apogon lachneri","Whitestar cardinalfish",0.0158,3.073,TRUE,FALSE,TRUE,FALSE,"Planktivore", ,"Apogon lachneri",6.5
"Apogon maculatus","Flamefish",0.0158,3.073,TRUE,FALSE,TRUE,FALSE,"Planktivore", ,"Apogon maculatus",11.1
"Apogon townsendi","Belted cardinalfish",0.0158,3.073,TRUE,FALSE,TRUE,FALSE,"Planktivore", ,"Apogon townsendi",6.5
"Aulostomus maculatus","Trumpetfish",0.004,2.865,FALSE,FALSE,TRUE,FALSE,"Piscivore", ,"Aulostomus maculatus",100
"Balistes vetula","Queen triggerfish",0.0525,2.783,FALSE,FALSE,TRUE,FALSE,"Invertivore", ,"Balistes vetula",60
"Bodianus rufus","Spanish hogfish",0.0144,3.053,FALSE,FALSE,TRUE,FALSE,"Invertivore", ,"Bodianus rufus",40
"Bothus lunatus","Peacock flounder",0.0098,3.189,TRUE,TRUE,FALSE,FALSE,"Piscivore", ,"Bothus lunatus",46
"Bothus ocellatus","Eyed flounder",0.0098,3.189,TRUE,TRUE,FALSE,FALSE,"Invertivore", ,"Bothus ocellatus",18
"Calamus calamus","Saucereye porgy",0.0429,2.801,FALSE,FALSE,TRUE,FALSE,"Invertivore", ,"Calamus calamus",56
"Calamus pennatula","Pluma",0.0178,3.11,FALSE,FALSE,TRUE,FALSE,"Invertivore", ,"Calamus pennatula",37
"Cantherhines macrocerus","Whitespotted filefish",0.0562,2.6534,FALSE,FALSE,TRUE,FALSE,"Invertivore", ,"Cantherhines macrocerus",46
"Cantherhines pullus","Orangespotted filefish",0.0684,2.5632,FALSE,FALSE,TRUE,FALSE,"Invertivore", ,"Cantherhines pullus",20
"Canthigaster rostrata","Sharpnose puffer",0.0299,2.979,TRUE,FALSE,FALSE,FALSE,"Invertivore", ,"Canthigaster rostrata",12
"Caranx bartholomaei","Yellow Jack",0.034,2.84,FALSE,FALSE,TRUE,TRUE,"Piscivore", ,"Caranx bartholomaei",100
"Caranx crysos","Blue runner",0.0525,2.69,FALSE,FALSE,FALSE,TRUE,"Piscivore", ,"Caranx crysos",70
"Caranx latus","Horse-eye jack",0.0186,2.8563,FALSE,FALSE,FALSE,TRUE,"Piscivore", ,"Caranx latus",101
"Caranx ruber","Bar jack",0.018,2.99,FALSE,FALSE,FALSE,TRUE,"Piscivore", ,"Caranx ruber",73
"Carcharhinus perezi","Caribbean reef shark",0.0271,3,FALSE,FALSE,TRUE,TRUE,"Piscivore", ,"Carcharhinus perezii",300
